movie_id,movie_name,runtime_min,mpa_rating,movie_year,genre
58,Sisters on Track,97,PG,2021,"Documentaries, Sports Movies"
59,Little Singham - Black Shadow,48,TV-Y7,2021,"Children & Family Movies, Comedies"
60,Firedrake the Silver Dragon,93,TV-Y7,2021,Children & Family Movies
61,Tughlaq Durbar,145,TV-14,2020,"Comedies, Dramas, International Movies"
62,Tughlaq Durbar (Telugu),145,TV-14,2021,"Comedies, Dramas, International Movies"
63,Blood Brothers: Malcolm X & Muhammad Ali,96,PG-13,2021,"Documentaries, Sports Movies"
64,JJ+E,91,TV-MA,2021,"Dramas, International Movies, Romantic Movies"
65,Worth,119,PG-13,2021,Dramas
66,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,97,TV-MA,2018,"Documentaries, Music & Musicals"
67,Afterlife of the Party,110,TV-PG,2021,"Comedies, Romantic Movies"
68,Untold: Breaking Point,80,TV-MA,2021,"Documentaries, Sports Movies"
69,Angamaly Diaries,128,TV-14,2017,"Action & Adventure, Comedies, Dramas"
70,A Champion Heart,90,G,2018,"Children & Family Movies, Dramas"
71,Anjaam,143,TV-14,1994,"Dramas, International Movies, Thrillers"
72,Headspace: Unwind Your Mind,273,TV-G,2021,Documentaries
73,Trese After Dark,36,TV-14,2021,"Anime Features, Documentaries"
74,Sam Smith: Love Goes - Live at Abbey Road Studios,61,TV-G,2020,"International Movies, Music & Musicals"
75,Shadow Parties,117,TV-MA,2020,"Dramas, International Movies, Thrillers"
76,Bright Star,119,PG,2009,"Dramas, Romantic Movies"
77,Dhanak,114,TV-PG,2015,"Comedies, Dramas, Independent Movies"
78,Final Account,94,PG-13,2021,Documentaries
79,Gurgaon,106,TV-14,2017,"Dramas, International Movies, Thrillers"
80,Here and There,99,TV-MA,2020,"Dramas, International Movies, Romantic Movies"
81,Agatha Christie's Crooked House,115,PG-13,2017,"Dramas, International Movies, Thrillers"
82,In the Cut,118,R,2003,Thrillers
83,Keymon and Nani in Space Adventure,76,TV-Y,2013,"Children & Family Movies, Comedies"
84,Rudra: The Rise of King Pharaoh,91,TV-Y7,2019,Children & Family Movies
85,Shikara,115,TV-14,2020,"Dramas, International Movies, Romantic Movies"
86,A Cinderella Story,95,PG,2004,"Children & Family Movies, Comedies"
87,An Unfinished Life,108,PG-13,2005,Dramas
88,Blade Runner: The Final Cut,117,R,1982,"Action & Adventure, Classic Movies, Cult Movies"
89,Dad Stop Embarrassing Me - The Afterparty,37,TV-14,2021,Comedies
90,Chappie,121,R,2015,"Action & Adventure, Sci-Fi & Fantasy"
91,Janoskians: Untold and Untrue,88,TV-MA,2016,Comedies
92,Barbie Big City Big Dreams,63,TV-Y,2021,"Children & Family Movies, Music & Musicals"
93,Clear and Present Danger,142,PG-13,1994,"Action & Adventure, Dramas"
94,Cliffhanger,113,R,1993,Action & Adventure
95,Cold Mountain,154,R,2003,"Dramas, Romantic Movies"
96,Crocodile Dundee in Los Angeles,95,PG,2001,"Action & Adventure, Comedies"
97,Dear John,108,PG-13,2010,"Dramas, Romantic Movies"
98,Do the Right Thing,120,R,1989,"Classic Movies, Comedies, Dramas"
99,"El patrÃ³n, radiografÃ­a de un crimen",100,TV-MA,2014,"Dramas, International Movies, Thrillers"
100,Extraction,82,R,2015,Action & Adventure
101,Freedom Writers,124,PG-13,2007,Dramas
102,Green Lantern,114,PG-13,2011,"Action & Adventure, Sci-Fi & Fantasy"
103,House Party,104,R,1990,"Comedies, Cult Movies"
104,House Party 2,94,R,1991,"Comedies, Cult Movies, Music & Musicals"
105,House Party 3,94,R,1994,"Comedies, Music & Musicals"
106,Ginny & Georgia - The Afterparty,35,TV-MA,2021,"Comedies, Dramas"
107,I Got the Hook Up,93,R,1998,"Action & Adventure, Comedies"
108,In Too Deep,97,R,1999,Thrillers
109,Initial D,109,TV-14,2005,"Action & Adventure, International Movies"
110,Labyrinth,101,PG,1986,"Action & Adventure, Children & Family Movies, Cult Movies"
111,Letters to Juliet,105,PG,2010,"Comedies, Dramas, Romantic Movies"
112,Level 16,102,TV-14,2018,"Sci-Fi & Fantasy, Thrillers"
113,Love Don't Cost a Thing,101,PG-13,2003,"Comedies, Romantic Movies"
114,Love in a Puff,103,TV-MA,2010,"Comedies, Dramas, International Movies"
115,Mars Attacks!,106,PG-13,1996,"Comedies, Cult Movies, Sci-Fi & Fantasy"
116,Marshall,118,PG-13,2017,Dramas
117,My Boss's Daughter,86,R,2003,"Comedies, Romantic Movies"
118,Mystery Men,121,PG-13,1999,"Action & Adventure, Comedies"
119,Best of Stand-Up 2020,77,TV-MA,2020,Stand-Up Comedy
120,Once Upon a Time in America,229,R,1984,"Classic Movies, Dramas"
121,Open Season 2,76,PG,2008,"Children & Family Movies, Comedies"
122,Osmosis Jones,95,PG,2001,"Action & Adventure, Children & Family Movies, Comedies"
123,Poseidon,98,PG-13,2006,"Action & Adventure, Dramas"
124,Ya no estoy aquÃ­: Una conversaciÃ³n entre Guillermo del Toro y Alfonso CuarÃ³n,15,TV-PG,2020,Documentaries
125,Rhyme & Reason,89,R,1997,"Documentaries, Music & Musicals"
126,Same Kind of Different as Me,120,PG-13,2017,"Dramas, Faith & Spirituality"
127,School of Rock,110,PG-13,2003,"Comedies, Music & Musicals"
128,Snervous Tyler Oakley,83,PG-13,2015,"Documentaries, LGBTQ Movies"
129,Tears of the Sun,121,R,2003,"Action & Adventure, Dramas"
130,The Blue Lagoon,105,R,1980,"Dramas, Romantic Movies"
131,The Golden Child,94,PG-13,1986,"Action & Adventure, Comedies"
132,The Guns of Navarone,156,TV-14,1961,"Action & Adventure, Classic Movies"
133,The Interview,112,R,2014,"Action & Adventure, Comedies"
134,The Nutty Professor,95,PG-13,1996,"Comedies, Romantic Movies"
135,The Nutty Professor II: The Klumps,107,PG-13,2000,"Comedies, Romantic Movies"
136,Welcome Home Roscoe Jenkins,114,PG-13,2008,Comedies
137,In the Line of Fire,129,R,1993,"Action & Adventure, Classic Movies"
138,Untold: Crime & Penalties,86,TV-MA,2021,"Documentaries, Sports Movies"
139,Zulu Man in Japan,44,TV-MA,2019,"Documentaries, International Movies, Music & Musicals"
140,2 Alone in Paris,97,TV-MA,2008,"Comedies, International Movies"
141,Little Singham: Legend of Dugabakka,68,TV-Y7,2020,"Children & Family Movies, Comedies"
142,Seven (Telugu),116,TV-14,2019,"Dramas, International Movies, Romantic Movies"
143,Thimmarusu,125,TV-14,2021,"Dramas, International Movies"
144,Wind River,107,R,2017,"Dramas, Independent Movies"
145,C Kkompany,127,TV-14,2008,"Action & Adventure, Comedies, International Movies"
146,He's All That,92,TV-14,2021,"Comedies, Romantic Movies"
147,EMI: Liya Hai To Chukana Padega,128,TV-14,2008,"Comedies, Dramas, International Movies"
148,Koi Aap Sa,135,TV-14,2006,"Comedies, Dramas, International Movies"
149,Krishna Cottage,124,TV-14,2004,"Action & Adventure, Horror Movies, International Movies"
150,Kucch To Hai,136,TV-14,2003,"Dramas, International Movies, Thrillers"
151,Kyaa Kool Hai Hum,165,TV-MA,2005,"Comedies, International Movies, Music & Musicals"
152,Kyaa Kool Hain Hum 3,124,TV-MA,2016,"Comedies, International Movies"
153,Kyaa Super Kool Hain Hum,136,TV-MA,2012,"Comedies, International Movies"
154,Kyo Kii... Main Jhuth Nahin Bolta,150,TV-14,2001,"Comedies, International Movies, Sci-Fi & Fantasy"
155,"LSD: Love, Sex Aur Dhokha",112,TV-MA,2010,"Dramas, Independent Movies, International Movies"
156,Mission Istaanbul: Darr Ke Aagey Jeet Hai,119,TV-14,2008,"Action & Adventure, International Movies, Music & Musicals"
157,Once Upon a Time in Mumbaai,133,TV-14,2010,"Dramas, International Movies, Music & Musicals"
158,Once Upon a Time in Mumbai Dobaara!,142,TV-14,2013,"Dramas, International Movies, Music & Musicals"
159,Ragini MMS,93,TV-MA,2011,"Horror Movies, International Movies"
160,Ragini MMS 2,113,TV-MA,2014,"Horror Movies, International Movies"
161,Shootout at Lokhandwala,116,TV-MA,2007,"Action & Adventure, Dramas, International Movies"
162,Shor In the City,106,TV-14,2011,"Comedies, Dramas, Independent Movies"
163,The Dirty Picture,145,TV-14,2011,"Comedies, Dramas, International Movies"
164,Really Love,95,TV-MA,2020,"Dramas, Independent Movies, Romantic Movies"
165,ChuChuTV Surprise Eggs Learning Videos (Hindi),34,TV-Y,2019,Children & Family Movies
166,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),47,TV-Y,2019,Children & Family Movies
167,SAS: Rise of the Black Swan,124,R,2021,"Action & Adventure, International Movies"
168,"Bob Ross: Happy Accidents, Betrayal & Greed",93,TV-14,2021,Documentaries
169,The November Man,108,R,2014,Action & Adventure
170,The Old Ways,90,TV-MA,2020,Horror Movies
171,The Water Man,92,PG,2021,"Children & Family Movies, Dramas"
172,The River Runner,86,TV-MA,2021,"Documentaries, Sports Movies"
173,Count Me In,82,TV-MA,2021,"Documentaries, Music & Musicals"
174,Untold: Caitlyn Jenner,70,TV-PG,2021,"Documentaries, LGBTQ Movies, Sports Movies"
175,The Witcher: Nightmare of the Wolf,84,TV-MA,2021,"Action & Adventure, Anime Features"
176,Gunshot,96,TV-14,2018,"Dramas, International Movies, Thrillers"
177,Unroyal,97,TV-MA,2020,"Dramas, International Movies"
178,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),56,TV-Y,2019,Children & Family Movies
179,Sweet Girl,110,R,2021,"Action & Adventure, Dramas"
180,ChuChuTV Surprise Eggs Learning Videos (English),61,TV-Y,2019,Children & Family Movies
181,Little Baby Bum: Go Buster,58,TV-Y,2019,Children & Family Movies
182,Man in Love,115,TV-MA,2021,"Dramas, International Movies, Romantic Movies"
183,Boomika,122,TV-14,2021,"Horror Movies, International Movies, Thrillers"
184,Boomika (Hindi),122,TV-14,2021,"Horror Movies, International Movies, Thrillers"
185,Boomika (Malayalam),122,TV-14,2021,"Horror Movies, International Movies, Thrillers"
186,Boomika (Telugu),122,TV-14,2021,"Horror Movies, International Movies, Thrillers"
187,Like Crazy,91,PG-13,2011,"Dramas, Independent Movies, Romantic Movies"
188,Bombay,135,TV-14,1995,"Dramas, International Movies, Romantic Movies"
189,Pahuna,82,TV-PG,2018,"Comedies, Dramas, International Movies"
190,O Kadhal Kanmani,133,TV-14,2015,"Dramas, International Movies, Romantic Movies"
191,The Secret Diary of an Exchange Student,97,TV-14,2021,"Comedies, International Movies, Romantic Movies"
192,Walk of Shame,94,R,2014,"Comedies, Independent Movies"
193,Untold: Deal With the Devil,78,TV-MA,2021,"Documentaries, LGBTQ Movies, Sports Movies"
194,The Piano,121,R,1993,"Classic Movies, Dramas, Independent Movies"
195,Lift Like a Girl,93,TV-PG,2021,"Documentaries, International Movies, Sports Movies"
196,The Loud House Movie,88,TV-Y7,2021,"Children & Family Movies, Comedies, Music & Musicals"
197,A Faraway Land,102,TV-PG,2020,"Dramas, International Movies, Romantic Movies"
198,Black Island,105,TV-MA,2021,"International Movies, Thrillers"
199,Memories of a Murderer: The Nilsen Tapes,86,TV-MA,2021,"Documentaries, International Movies"
200,Out of my league,92,TV-MA,2020,"Comedies, Dramas, International Movies"
201,Nneka The Pretty Serpent,140,TV-14,2020,"Dramas, International Movies"
202,Beckett,110,TV-MA,2021,Action & Adventure
203,Lokillo: Nothing's the Same,64,TV-MA,2021,Stand-Up Comedy
204,Monster Hunter: Legends of the Guild,59,TV-PG,2021,"Action & Adventure, Anime Features, Children & Family Movies"
205,Brother Jekwu,101,TV-14,2016,"Comedies, International Movies"
206,La diosa del asfalto,127,TV-MA,2020,"Dramas, Independent Movies, International Movies"
207,Misha and the Wolves,90,PG-13,2021,"Documentaries, International Movies"
208,The Kissing Booth 3,114,TV-14,2021,"Comedies, Romantic Movies"
209,The Railway Man,108,R,2013,"Dramas, International Movies"
210,Super Monsters Furever Friends,59,TV-Y,2019,Children & Family Movies
211,Antoine Griezmann: The Making of a Legend,60,TV-PG,2019,"Documentaries, International Movies, Sports Movies"
212,Untold: Malice at the Palace,70,TV-MA,2021,"Documentaries, Sports Movies"
213,Quartet,98,PG-13,2012,"Comedies, Dramas, Independent Movies"
214,Slay,86,TV-MA,2021,"Comedies, International Movies, Romantic Movies"
215,The Paper Tigers,111,PG-13,2021,"Action & Adventure, Comedies"
216,Quam's Money,115,TV-MA,2020,"Comedies, Dramas, International Movies"
217,The Swarm,102,TV-14,2021,"Horror Movies, Independent Movies, International Movies"
218,Vivo,100,PG,2021,"Children & Family Movies, Music & Musicals"
219,Chennai Express,135,TV-14,2013,"Action & Adventure, Comedies, International Movies"
220,City of God: 10 Years Later,69,TV-MA,2013,"Documentaries, International Movies"
221,Esperando la carroza,95,TV-MA,1985,"Comedies, Cult Movies, International Movies"
222,Lady Boss: The Jackie Collins Story,97,TV-14,2021,Documentaries
223,Tango Feroz,124,TV-MA,1993,"Classic Movies, Dramas, International Movies"
224,Bill Hicks: Reflections,34,TV-MA,2015,Documentaries
225,'76,118,TV-PG,2016,"Dramas, International Movies"
226,Aftermath,115,TV-MA,2021,Horror Movies
227,Heavy,104,R,1995,"Dramas, Independent Movies, Romantic Movies"
228,Ije: The Journey,106,TV-MA,2010,"Dramas, International Movies"
229,Pray Away,102,PG-13,2021,"Documentaries, LGBTQ Movies"
230,Beethoven,87,PG,1992,"Children & Family Movies, Comedies"
231,Beethoven's 2nd,88,PG,1993,"Children & Family Movies, Comedies"
232,Beowulf,114,PG-13,2007,"Action & Adventure, Sci-Fi & Fantasy"
233,Boyka: Undisputed,90,R,2016,Action & Adventure
234,Catch Me If You Can,142,PG-13,2002,Dramas
235,Cloudy with a Chance of Meatballs,90,PG,2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
236,Deep Blue Sea,105,R,1999,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
237,Ferris Bueller's Day Off,103,PG-13,1986,"Classic Movies, Comedies, Cult Movies"
238,Five Feet Apart,116,PG-13,2019,"Dramas, Romantic Movies"
239,Freedomland,113,R,2006,"Dramas, Thrillers"
240,Good Luck Chuck,99,R,2007,"Comedies, Romantic Movies"
241,Inception,148,PG-13,2010,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
242,Magnolia,189,R,1999,"Dramas, Independent Movies"
243,Major Payne,97,PG-13,1995,Comedies
244,My Girl,102,PG-13,1991,Dramas
245,"Alias JJ, la celebridad del mal",54,TV-MA,2017,"Documentaries, International Movies"
246,My Girl 2,99,PG,1994,"Children & Family Movies, Comedies, Dramas"
247,Open Season: Scared Silly,85,PG,2015,"Children & Family Movies, Comedies"
248,Pineapple Express,112,R,2008,"Action & Adventure, Comedies"
249,Planet 51,91,PG,2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
250,Poms,91,PG-13,2019,Comedies
251,Seabiscuit,141,PG-13,2003,"Dramas, Sports Movies"
252,Space Cowboys,130,PG-13,2000,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
253,Team America: World Police,98,R,2004,"Action & Adventure, Comedies, Cult Movies"
254,The Edge of Seventeen,105,R,2016,"Comedies, Dramas"
255,The Haunting in Connecticut 2: Ghosts of Georgia,101,R,2013,Horror Movies
256,The Last Boy Scout,105,R,1991,"Action & Adventure, Comedies"
257,The Lincoln Lawyer,118,R,2011,"Dramas, Thrillers"
258,The Losers,97,PG-13,2010,Action & Adventure
259,The Machinist,102,R,2004,"Dramas, Independent Movies, Thrillers"
260,The Net,114,PG-13,1995,Thrillers
261,The Original Kings of Comedy,111,R,2000,Stand-Up Comedy
262,Valentine's Day,125,PG-13,2010,"Comedies, Romantic Movies"
263,The Lost CafÃ©,76,TV-14,2018,"Dramas, International Movies"
264,Eyes of a Thief,103,TV-14,2014,"Dramas, Independent Movies, International Movies"
265,Pomegranates and Myrrh,95,TV-14,2009,"Dramas, Independent Movies, International Movies"
266,Chhota Bheem: Bheem vs Aliens,69,TV-Y7,2010,"Children & Family Movies, Sports Movies"
267,Flower Girl,94,TV-PG,2013,"Comedies, International Movies, Romantic Movies"
268,Bartkowiak,92,TV-MA,2021,"Action & Adventure, International Movies"
269,Fantastic Fungi,81,TV-14,2019,Documentaries
270,"Katarzyna Piasecka, RafaÅ‚ PaczeÅ› Seriously Funny",65,TV-MA,2016,Stand-Up Comedy
271,"Mariusz KaÅ‚amaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",69,TV-MA,2016,Stand-Up Comedy
272,"RafaÅ‚ BanaÅ›, MichaÅ‚ Leja Laugh out Loud",64,TV-MA,2016,Stand-Up Comedy
273,The Best of RafaÅ‚ Rutkowski Olka SzczÄ™Å›niak,63,TV-MA,2016,Stand-Up Comedy
274,"Tomasz Jachimek, Jacek Stramik Laugh at Live",63,TV-MA,2016,Stand-Up Comedy
275,The Vault,118,R,2021,"Action & Adventure, International Movies, Thrillers"
276,I'm Glad I Did,114,TV-14,2020,"Documentaries, International Movies"
277,The Last Mercenary,112,TV-MA,2021,"Action & Adventure, Comedies, International Movies"
278,Resort to Love,102,TV-14,2021,"Comedies, Romantic Movies"
279,Rurouni Kenshin: The Beginning,138,TV-MA,2021,"Action & Adventure, International Movies"
280,Mimi,132,TV-14,2021,"Comedies, Dramas, International Movies"
281,Bankrolled,97,TV-MA,2021,"Comedies, International Movies"
282,Department,143,TV-MA,2012,"Action & Adventure, International Movies"
283,Kingdom: Ashin of the North,94,TV-MA,2021,"Horror Movies, International Movies, Thrillers"
284,The Operative,117,TV-MA,2019,"Dramas, International Movies, Thrillers"
285,Django Unchained,165,R,2012,"Action & Adventure, Dramas"
286,A Second Chance:  Rivals!,91,PG,2021,"Children & Family Movies, Sports Movies"
287,Hostage House,86,TV-14,2021,Thrillers
288,African America,97,TV-MA,2021,"Dramas, Independent Movies, International Movies"
289,Blood Red Sky,123,TV-MA,2021,"Action & Adventure, Horror Movies, International Movies"
290,Chhota Bheem - Neeli Pahaadi,64,TV-Y7,2013,Children & Family Movies
291,Chhota Bheem & Ganesh,68,TV-Y7,2009,Children & Family Movies
292,Chhota Bheem & Krishna: Mayanagari,67,TV-Y7,2011,Children & Family Movies
293,The Last Letter From Your Lover,111,TV-MA,2021,"Dramas, Romantic Movies"
294,Chhota Bheem & Krishna: Pataliputra- City of the Dead,66,TV-Y7,2010,Children & Family Movies
295,Chhota Bheem And The Crown of Valhalla,64,TV-Y7,2013,Children & Family Movies
296,Chhota Bheem And The Broken Amulet,64,TV-Y7,2013,Children & Family Movies
297,Chhota Bheem aur Krishna,68,TV-Y7,2009,Children & Family Movies
298,Chhota Bheem and the Incan Adventure,65,TV-Y7,2013,Children & Family Movies
299,Chhota Bheem and The ShiNobi Secret,64,TV-Y7,2013,Children & Family Movies
300,Chhota Bheem Aur Hanuman,68,TV-Y7,2012,Children & Family Movies
301,Chhota Bheem aur Krishna vs Zimbara,64,TV-Y7,2013,Children & Family Movies
302,Chhota Bheem - Dinosaur World,65,TV-Y,2015,Children & Family Movies
303,Chhota Bheem in African Safari,62,TV-Y7,2015,Children & Family Movies
304,Chhota Bheem Ka Roosi Romanch,63,TV-Y,2019,Children & Family Movies
305,Chhota Bheem: Dholakpur to Kathmandu,70,TV-Y7,2012,Children & Family Movies
306,Cousins,99,TV-MA,2021,Dramas
307,Sanitation Day,105,TV-14,2020,"Dramas, International Movies, Thrillers"
308,Chhota Bheem: Journey to Petra,68,TV-Y7,2011,Children & Family Movies
309,Chhota Bheem: Master of Shaolin,74,TV-Y7,2011,Children & Family Movies
310,Milkwater,102,TV-MA,2020,"Comedies, Dramas, Independent Movies"
311,Chhota Bheem: The Rise of Kirmada,68,TV-Y7,2012,Children & Family Movies
312,Wannabe Courageous,90,TV-14,2019,"Comedies, International Movies"
313,The Tambour of Retribution,91,TV-14,2021,"Dramas, International Movies, Romantic Movies"
314,Cosmic Sin,88,R,2021,Action & Adventure
315,Harlem Globetrotters: The Team That Changed the World,55,TV-14,2005,"Documentaries, Sports Movies"
316,Chhota Bheem: Dus Pe Dus,63,TV-Y7,2014,Children & Family Movies
317,Words Bubble Up Like Soda Pop,87,TV-G,2021,"Anime Features, Children & Family Movies, International Movies"
318,Trollhunters: Rise of the Titans,106,TV-Y7,2021,Children & Family Movies
319,2 Weeks in Lagos,107,TV-PG,2020,"Dramas, International Movies, Romantic Movies"
320,Deep,101,TV-MA,2021,"Dramas, International Movies, Thrillers"
321,La ley de Herodes,123,R,1999,"Comedies, International Movies"
322,The Beguiled,94,R,2017,"Dramas, Independent Movies, Thrillers"
323,The Book of Henry,105,PG-13,2017,Dramas
324,The Twilight Saga: Breaking Dawn: Part 1,117,PG-13,2011,"Dramas, Romantic Movies"
325,The Twilight Saga: Breaking Dawn: Part 2,115,PG-13,2012,"Dramas, Romantic Movies"
326,The Twilight Saga: Eclipse,124,PG-13,2010,"Dramas, Romantic Movies"
327,The Twilight Saga: New Moon,131,PG-13,2009,"Dramas, Romantic Movies"
328,Twilight,122,PG-13,2008,"Action & Adventure, Dramas, Romantic Movies"
329,A Perfect Fit,113,TV-PG,2021,"Comedies, Dramas, International Movies"
330,Krish Trish and Baltiboy,58,TV-Y7,2009,Children & Family Movies
331,Krish Trish and Baltiboy: Part II,58,TV-Y7,2010,Children & Family Movies
332,Little Singham Bandarpur Mein Hu Ha Hu,67,TV-Y7,2019,"Children & Family Movies, Comedies"
333,Cheech & Chong's Still Smokin,91,TV-MA,1983,"Comedies, Cult Movies"
334,Emicida: AmarElo - Live in SÃ£o Paulo,100,TV-MA,2021,"Documentaries, International Movies, Music & Musicals"
335,Fear Street Part 3: 1666,114,R,2021,"Horror Movies, LGBTQ Movies"
336,Surf's Up,86,PG,2007,"Children & Family Movies, Comedies, Sports Movies"
337,This Changes Everything,96,TV-MA,2019,Documentaries
338,A Classic Horror Story,95,TV-MA,2021,"Horror Movies, International Movies"
339,American Woman,87,TV-MA,2019,"Dramas, Independent Movies"
340,Born to Play,93,TV-MA,2020,"Documentaries, Sports Movies"
341,American Ultra,96,R,2015,"Action & Adventure, Comedies"
342,My Amanda,90,TV-14,2021,"Dramas, International Movies, Romantic Movies"
343,Gunpowder Milkshake,115,R,2021,"Action & Adventure, Comedies"
344,Lee Su-geun: The Sense Coach,46,TV-G,2021,Stand-Up Comedy
345,Ratchet and Clank,94,PG,2016,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
346,Back to Q82,104,TV-14,2017,"Comedies, International Movies"
347,Home Again,97,PG-13,2017,"Comedies, Dramas, Romantic Movies"
348,Midnight Sun,91,PG-13,2018,"Dramas, Romantic Movies"
349,Rock the Kasbah,106,R,2015,"Comedies, Music & Musicals"
350,Brick Mansions,90,PG-13,2014,"Action & Adventure, International Movies"
351,Finding Hubby,105,TV-14,2020,"Comedies, Dramas, International Movies"
352,How I Became a Superhero,101,TV-MA,2021,"Action & Adventure, Dramas, International Movies"
353,Lethal Love,89,TV-14,2021,Thrillers
354,Awon Boyz,38,TV-MA,2019,"Documentaries, International Movies"
355,Fear Street Part 2: 1978,111,R,2021,Horror Movies
356,Mama Drama,105,TV-MA,2020,"Dramas, International Movies"
357,Tango With Me,104,TV-14,2010,"Dramas, International Movies, Romantic Movies"
